ISO3,Country Name,Country Name FR,Country Code
279,Curaçao,Curacao,CUW
280,Sint Maarten (Dutch part),Sint Maarten (Dutch part),SXM
281,Saint-Martin (French part),Saint-Martin (fr),MAF
282,Saint Barthélemy,,BLM
283,Jersey,,JEY
284,Åland Islands,,ALA
286,Serbia (excluding Kosovo),,
299,Palestine,Cisjordanie et Gaza,PSE
351,China,Chine,CHN
420,Sub-Saharan Africa,,
429,North Africa (excluding Sudan),,
9010,High-income economies,,
9011,Upper-middle-income economies,,
5000,World,,X01
5100,Africa,,X06
5101,Eastern Africa,,
5102,Middle Africa,,
5103,Northern Africa,,
5104,Southern Africa,,
5105,Western Africa,,
5200,Americas,,X21
5203,Northern America,,
5204,Central America,,
5205,Latin America and the Caribbean,,
5206,Caribbean,,
5207,South America,,
5208,Northern America and Europe,,
5300,Asia,,
5301,Central Asia,,
5302,Eastern Asia,,
5303,Southern Asia,,
5304,South-eastern Asia,,
5305,Western Asia,,
5306,Central Asia and Southern Asia,,
5307,Eastern Asia and South-eastern Asia,,
5308,Western Asia and Northern Africa,,
5400,Europe,,
5401,Eastern Europe,,
5402,Northern Europe,,
5403,Southern Europe,,
5404,Western Europe,,
5500,Oceania,,
5501,Australia and New Zealand,,
5502,Melanesia,,
5503,Micronesia,,
5504,Polynesia,,
5600,Antarctic Region,,
5706,European Union (28),,
5707,European Union (27),,
5801,Least Developed Countries,,
5802,Land Locked Developing Countries,,
5803,Small Island Developing States,,
5807,Oceania excluding Australia and New Zealand,,
5810,Sub-Saharan Africa (including Sudan),,
5815,Low Income Food Deficit Countries,,
5817,Net Food Importing Developing Countries,,
5848,Annex I countries,,
5849,Non-Annex I countries,,
5854,East Asia (excluding China),,
5855,South Asia (excluding India),,
5858,Low income economies,,
5859,Lower-middle-income economies,,
5873,OECD,,
